Ammattioikeus_koodi;Ammattioikeus;Ammattioikeus SV;Ammattioikeus EN;Vuosi;Ikä;Ammattioikeuksien lkm;Ammattihenkilöiden lkm
607;nimikesuojattu perushoitaja;primärskötare med skyddad yrkesbeteckning;practical nurse with protected occupational title;2011;<65;11118;11118
610;nimikesuojattu hammashoitaja;tandskötare med skyddad yrkesbeteckning;dental assistant with protected occupational title;2011;>=65;630;630
610;nimikesuojattu hammashoitaja;tandskötare med skyddad yrkesbeteckning;dental assistant with protected occupational title;2011;<65;7475;7475
611;laillistettu suuhygienisti;legitimerad munhygienist;registered dental hygienist;2011;>=65;26;26
611;laillistettu suuhygienisti;legitimerad munhygienist;registered dental hygienist;2011;<65;2228;2228
612;nimikesuojattu jalkaterapeutti;fotterapeut med skyddad yrkesbeteckning;podiatrist with protected occupational title;2011;>=65;Alle 5;Alle 5
612;nimikesuojattu jalkaterapeutti;fotterapeut med skyddad yrkesbeteckning;podiatrist with protected occupational title;2011;<65;238;238
613;nimikesuojattu jalkojenhoitaja;fotvårdare med skyddad yrkesbeteckning;chiropodist with protected occupational title;2011;>=65;157;157
613;nimikesuojattu jalkojenhoitaja;fotvårdare med skyddad yrkesbeteckning;chiropodist with protected occupational title;2011;<65;755;755
614;nimikesuojattu lääkintävahtimestari-sairaankuljettaja;medikalvaktmästare-ambulansförare med skyddad yrkesbeteckning;hospital and ambulance attendant with protected occupational title;2011;>=65;93;93
614;nimikesuojattu lääkintävahtimestari-sairaankuljettaja;medikalvaktmästare-ambulansförare med skyddad yrkesbeteckning;hospital and ambulance attendant with protected occupational title;2011;<65;2785;2785
001;laillistettu lääkäri;legitimerad läkare;registered medical doctor;2012;>=65;4403;4403
001;laillistettu lääkäri;legitimerad läkare;registered medical doctor;2012;<65;21670;21670
003;laillistettu hammaslääkäri;legitimerad tandläkare;registered dental practitioner;2012;>=65;1796;1796
003;laillistettu hammaslääkäri;legitimerad tandläkare;registered dental practitioner;2012;<65;4991;4991
005;laillistettu farmaseutti;legitimerad farmaceut;registered dispenser;2012;>=65;4121;4121
005;laillistettu farmaseutti;legitimerad farmaceut;registered dispenser;2012;<65;9128;9128
006;laillistettu proviisori;legitimerad provisor;registered pharmacist;2012;>=65;541;541
006;laillistettu proviisori;legitimerad provisor;registered pharmacist;2012;<65;2707;2707
007;laillistettu optikko;legitimerad optiker;registered optician;2012;>=65;241;241
007;laillistettu optikko;legitimerad optiker;registered optician;2012;<65;1846;1846
008;laillistettu hammasteknikko;legitimerad tandtekniker;registered dental technician;2012;>=65;259;259
008;laillistettu hammasteknikko;legitimerad tandtekniker;registered dental technician;2012;<65;858;858
009;laillistettu psykologi;legitimerad psykolog;registered psychologist;2012;>=65;1018;1018
009;laillistettu psykologi;legitimerad psykolog;registered psychologist;2012;<65;5682;5682
010;nimikesuojattu psykoterapeutti;psykoterapeut med skyddad yrkesbeteckning;psychotherapist with protected occupational title;2012;>=65;982;982
010;nimikesuojattu psykoterapeutti;psykoterapeut med skyddad yrkesbeteckning;psychotherapist with protected occupational title;2012;<65;5276;5276
012;laillistettu puheterapeutti;legitimerad talterapeut;registered speech therapist;2012;>=65;149;149
012;laillistettu puheterapeutti;legitimerad talterapeut;registered speech therapist;2012;<65;1370;1370
014;laillistettu toimintaterapeutti;legitimerad ergoterapeut;registered occupational therapist;2012;>=65;28;28
014;laillistettu toimintaterapeutti;legitimerad ergoterapeut;registered occupational therapist;2012;<65;2694;2694
016;laillistettu ravitsemusterapeutti;legitimerad näringsterapeut;registered dietitian;2012;>=65;21;21
016;laillistettu ravitsemusterapeutti;legitimerad näringsterapeut;registered dietitian;2012;<65;513;513
020;nimikesuojattu sairaalafyysikko;sjukhusfysiker med skyddad yrkesbeteckning;hospital physicist with protected occupational title;2012;>=65;28;28
020;nimikesuojattu sairaalafyysikko;sjukhusfysiker med skyddad yrkesbeteckning;hospital physicist with protected occupational title;2012;<65;119;119
021;nimikesuojattu sairaalageneetikko;sjukhusgenetiker med skyddad yrkesbeteckning;hospital geneticist with protected occupational title;2012;>=65;Alle 5;Alle 5
021;nimikesuojattu sairaalageneetikko;sjukhusgenetiker med skyddad yrkesbeteckning;hospital geneticist with protected occupational title;2012;<65;22;22
022;nimikesuojattu sairaalakemisti;sjukhuskemist med skyddad yrkesbeteckning;hospital chemist with protected occupational title;2012;>=65;71;71
022;nimikesuojattu sairaalakemisti;sjukhuskemist med skyddad yrkesbeteckning;hospital chemist with protected occupational title;2012;<65;138;138
023;nimikesuojattu sairaalamikrobiologi;sjukhusmikrobiolog med skyddad yrkesbeteckning;hospital microbiologist with protected occupational title;2012;>=65;Alle 5;Alle 5
023;nimikesuojattu sairaalamikrobiologi;sjukhusmikrobiolog med skyddad yrkesbeteckning;hospital microbiologist with protected occupational title;2012;<65;40;40
024;nimikesuojattu sairaalasolubiologi;sjukhuscellbiolog med skyddad yrkesbeteckning;hospital cell biologist with protected occupational title;2012;>=65;Alle 5;Alle 5
024;nimikesuojattu sairaalasolubiologi;sjukhuscellbiolog med skyddad yrkesbeteckning;hospital cell biologist with protected occupational title;2012;<65;18;18
034;laillistettu erikoislääkäri;legitimerad specialistläkare;registered specialist;2012;>=65;5129;3733
034;laillistettu erikoislääkäri;legitimerad specialistläkare;registered specialist;2012;<65;15946;12693
035;laillistettu erikoishammaslääkäri;legitimerad specialisttandläkare;specialised dental practitioner;2012;>=65;377;367
035;laillistettu erikoishammaslääkäri;legitimerad specialisttandläkare;specialised dental practitioner;2012;<65;683;678
100;laillistettu sairaanhoitaja;legitimerad sjukskötare;registered nurse;2012;>=65;21972;21972
100;laillistettu sairaanhoitaja;legitimerad sjukskötare;registered nurse;2012;<65;96959;96959
201;nimikesuojattu apuvälineteknikko;hjälpmedelstekniker med skyddad yrkesbeteckning;orthopaedic technician with protected occupational title;2012;>=65;Alle 5;Alle 5
201;nimikesuojattu apuvälineteknikko;hjälpmedelstekniker med skyddad yrkesbeteckning;orthopaedic technician with protected occupational title;2012;<65;247;247
220;nimikesuojattu kiropraktikko;kiropraktor med skyddad yrkesbeteckning;chiropractor with protected occupational title;2012;>=65;5;5
220;nimikesuojattu kiropraktikko;kiropraktor med skyddad yrkesbeteckning;chiropractor with protected occupational title;2012;<65;80;80
230;nimikesuojattu naprapaatti;naprapat med skyddad yrkesbeteckning;naprapath with protected occupational title;2012;>=65;10;10
230;nimikesuojattu naprapaatti;naprapat med skyddad yrkesbeteckning;naprapath with protected occupational title;2012;<65;140;140
240;nimikesuojattu osteopaatti;osteopat med skyddad yrkesbeteckning;osteopath with protected occupational title;2012;>=65;18;18
240;nimikesuojattu osteopaatti;osteopat med skyddad yrkesbeteckning;osteopath with protected occupational title;2012;<65;287;287
300;laillistettu kätilö;legitimerad barnmorska;registered midwife;2012;>=65;2654;2654
300;laillistettu kätilö;legitimerad barnmorska;registered midwife;2012;<65;6214;6214
400;laillistettu terveydenhoitaja;legitimerad hälsovårdare;registered public health nurse;2012;>=65;1311;1311
400;laillistettu terveydenhoitaja;legitimerad hälsovårdare;registered public health nurse;2012;<65;20554;20554
503;nimikesuojattu mielisairaanhoitaja;sinnessjukvårdare med skyddad yrkesbeteckning;practical psychiatric nurse with protected occupational title;2012;>=65;3387;3387
503;nimikesuojattu mielisairaanhoitaja;sinnessjukvårdare med skyddad yrkesbeteckning;practical psychiatric nurse with protected occupational title;2012;<65;4822;4822
506;nimikesuojattu koulutettu hieroja;utbildad massör med skyddad yrkesbeteckning;trained masseur with protected occupational title;2012;>=65;1069;1069
506;nimikesuojattu koulutettu hieroja;utbildad massör med skyddad yrkesbeteckning;trained masseur with protected occupational title;2012;<65;14539;14539
507;nimikesuojattu apuhoitaja;hjälpskötare med skyddad yrkesbeteckning;assistant nurse with protected occupational title;2012;>=65;10518;10518
507;nimikesuojattu apuhoitaja;hjälpskötare med skyddad yrkesbeteckning;assistant nurse with protected occupational title;2012;<65;24494;24494
508;laillistettu laboratoriohoitaja;legitimerad laboratorieskötare;registered medical laboratory technologist;2012;>=65;1455;1455
508;laillistettu laboratoriohoitaja;legitimerad laboratorieskötare;registered medical laboratory technologist;2012;<65;7888;7888
509;laillistettu röntgenhoitaja;legitimerad röntgenskötare;registered radiographer;2012;>=65;932;932
509;laillistettu röntgenhoitaja;legitimerad röntgenskötare;registered radiographer;2012;<65;4213;4213
600;laillistettu fysioterapeutti;legitimerad fysioterapeut;registered physiotherapist;2012;>=65;1081;1081
600;laillistettu fysioterapeutti;legitimerad fysioterapeut;registered physiotherapist;2012;<65;14949;14949
602;nimikesuojattu kuntohoitaja;konditionsskötare med skyddad yrkesbeteckning;physiotherapy assistant with protected occupational title;2012;>=65;298;298
602;nimikesuojattu kuntohoitaja;konditionsskötare med skyddad yrkesbeteckning;physiotherapy assistant with protected occupational title;2012;<65;5355;5355
603;nimikesuojattu mielenterveyshoitaja;mentalvårdare med skyddad yrkesbeteckning;practical mental nurse with protected occupational title;2012;>=65;104;104
603;nimikesuojattu mielenterveyshoitaja;mentalvårdare med skyddad yrkesbeteckning;practical mental nurse with protected occupational title;2012;<65;2699;2699
604;nimikesuojattu lastenhoitaja;barnskötare med skyddad yrkesbeteckning;children's nurse with protected occupational title;2012;>=65;5558;5558
604;nimikesuojattu lastenhoitaja;barnskötare med skyddad yrkesbeteckning;children's nurse with protected occupational title;2012;<65;12236;12236
605;nimikesuojattu lähihoitaja (terveydenhuolto);närvårdare (hälsovård) med skyddad yrkesbeteckning;practical nurse (health care);2012;>=65;1214;1214
605;nimikesuojattu lähihoitaja (terveydenhuolto);närvårdare (hälsovård) med skyddad yrkesbeteckning;practical nurse (health care);2012;<65;113681;113681
607;nimikesuojattu perushoitaja;primärskötare med skyddad yrkesbeteckning;practical nurse with protected occupational title;2012;>=65;843;843
607;nimikesuojattu perushoitaja;primärskötare med skyddad yrkesbeteckning;practical nurse with protected occupational title;2012;<65;10893;10893
610;nimikesuojattu hammashoitaja;tandskötare med skyddad yrkesbeteckning;dental assistant with protected occupational title;2012;>=65;760;760
610;nimikesuojattu hammashoitaja;tandskötare med skyddad yrkesbeteckning;dental assistant with protected occupational title;2012;<65;7329;7329
611;laillistettu suuhygienisti;legitimerad munhygienist;registered dental hygienist;2012;>=65;38;38
611;laillistettu suuhygienisti;legitimerad munhygienist;registered dental hygienist;2012;<65;2335;2335
612;nimikesuojattu jalkaterapeutti;fotterapeut med skyddad yrkesbeteckning;podiatrist with protected occupational title;2012;>=65;Alle 5;Alle 5
612;nimikesuojattu jalkaterapeutti;fotterapeut med skyddad yrkesbeteckning;podiatrist with protected occupational title;2012;<65;257;257
613;nimikesuojattu jalkojenhoitaja;fotvårdare med skyddad yrkesbeteckning;chiropodist with protected occupational title;2012;>=65;175;175
613;nimikesuojattu jalkojenhoitaja;fotvårdare med skyddad yrkesbeteckning;chiropodist with protected occupational title;2012;<65;734;734
614;nimikesuojattu lääkintävahtimestari-sairaankuljettaja;medikalvaktmästare-ambulansförare med skyddad yrkesbeteckning;hospital and ambulance attendant with protected occupational title;2012;>=65;120;120
614;nimikesuojattu lääkintävahtimestari-sairaankuljettaja;medikalvaktmästare-ambulansförare med skyddad yrkesbeteckning;hospital and ambulance attendant with protected occupational title;2012;<65;2739;2739
001;laillistettu lääkäri;legitimerad läkare;registered medical doctor;2013;>=65;4702;4702
001;laillistettu lääkäri;legitimerad läkare;registered medical doctor;2013;<65;22070;22070
003;laillistettu hammaslääkäri;legitimerad tandläkare;registered dental practitioner;2013;>=65;1903;1903
003;laillistettu hammaslääkäri;legitimerad tandläkare;registered dental practitioner;2013;<65;5062;5062
005;laillistettu farmaseutti;legitimerad farmaceut;registered dispenser;2013;>=65;4143;4143
005;laillistettu farmaseutti;legitimerad farmaceut;registered dispenser;2013;<65;9264;9264
006;laillistettu proviisori;legitimerad provisor;registered pharmacist;2013;>=65;568;568
006;laillistettu proviisori;legitimerad provisor;registered pharmacist;2013;<65;2755;2755
007;laillistettu optikko;legitimerad optiker;registered optician;2013;>=65;251;251
007;laillistettu optikko;legitimerad optiker;registered optician;2013;<65;1887;1887
008;laillistettu hammasteknikko;legitimerad tandtekniker;registered dental technician;2013;>=65;257;257
008;laillistettu hammasteknikko;legitimerad tandtekniker;registered dental technician;2013;<65;858;858
009;laillistettu psykologi;legitimerad psykolog;registered psychologist;2013;>=65;1174;1174
009;laillistettu psykologi;legitimerad psykolog;registered psychologist;2013;<65;5769;5769
010;nimikesuojattu psykoterapeutti;psykoterapeut med skyddad yrkesbeteckning;psychotherapist with protected occupational title;2013;>=65;1145;1145
010;nimikesuojattu psykoterapeutti;psykoterapeut med skyddad yrkesbeteckning;psychotherapist with protected occupational title;2013;<65;5373;5373
012;laillistettu puheterapeutti;legitimerad talterapeut;registered speech therapist;2013;>=65;169;169
012;laillistettu puheterapeutti;legitimerad talterapeut;registered speech therapist;2013;<65;1420;1420
014;laillistettu toimintaterapeutti;legitimerad ergoterapeut;registered occupational therapist;2013;>=65;37;37
014;laillistettu toimintaterapeutti;legitimerad ergoterapeut;registered occupational therapist;2013;<65;2793;2793
016;laillistettu ravitsemusterapeutti;legitimerad näringsterapeut;registered dietitian;2013;>=65;24;24
016;laillistettu ravitsemusterapeutti;legitimerad näringsterapeut;registered dietitian;2013;<65;532;532
020;nimikesuojattu sairaalafyysikko;sjukhusfysiker med skyddad yrkesbeteckning;hospital physicist with protected occupational title;2013;>=65;32;32
020;nimikesuojattu sairaalafyysikko;sjukhusfysiker med skyddad yrkesbeteckning;hospital physicist with protected occupational title;2013;<65;123;123
021;nimikesuojattu sairaalageneetikko;sjukhusgenetiker med skyddad yrkesbeteckning;hospital geneticist with protected occupational title;2013;>=65;Alle 5;Alle 5
021;nimikesuojattu sairaalageneetikko;sjukhusgenetiker med skyddad yrkesbeteckning;hospital geneticist with protected occupational title;2013;<65;22;22
022;nimikesuojattu sairaalakemisti;sjukhuskemist med skyddad yrkesbeteckning;hospital chemist with protected occupational title;2013;>=65;81;81
022;nimikesuojattu sairaalakemisti;sjukhuskemist med skyddad yrkesbeteckning;hospital chemist with protected occupational title;2013;<65;130;130
023;nimikesuojattu sairaalamikrobiologi;sjukhusmikrobiolog med skyddad yrkesbeteckning;hospital microbiologist with protected occupational title;2013;>=65;5;5
023;nimikesuojattu sairaalamikrobiologi;sjukhusmikrobiolog med skyddad yrkesbeteckning;hospital microbiologist with protected occupational title;2013;<65;40;40
024;nimikesuojattu sairaalasolubiologi;sjukhuscellbiolog med skyddad yrkesbeteckning;hospital cell biologist with protected occupational title;2013;>=65;Alle 5;Alle 5
024;nimikesuojattu sairaalasolubiologi;sjukhuscellbiolog med skyddad yrkesbeteckning;hospital cell biologist with protected occupational title;2013;<65;18;18
034;laillistettu erikoislääkäri;legitimerad specialistläkare;registered specialist;2013;>=65;5430;3973
034;laillistettu erikoislääkäri;legitimerad specialistläkare;registered specialist;2013;<65;16207;12921
035;laillistettu erikoishammaslääkäri;legitimerad specialisttandläkare;specialised dental practitioner;2013;>=65;393;382
035;laillistettu erikoishammaslääkäri;legitimerad specialisttandläkare;specialised dental practitioner;2013;<65;693;689
100;laillistettu sairaanhoitaja;legitimerad sjukskötare;registered nurse;2013;>=65;23529;23529
100;laillistettu sairaanhoitaja;legitimerad sjukskötare;registered nurse;2013;<65;98270;98270
201;nimikesuojattu apuvälineteknikko;hjälpmedelstekniker med skyddad yrkesbeteckning;orthopaedic technician with protected occupational title;2013;>=65;Alle 5;Alle 5
201;nimikesuojattu apuvälineteknikko;hjälpmedelstekniker med skyddad yrkesbeteckning;orthopaedic technician with protected occupational title;2013;<65;255;255
220;nimikesuojattu kiropraktikko;kiropraktor med skyddad yrkesbeteckning;chiropractor with protected occupational title;2013;>=65;6;6
220;nimikesuojattu kiropraktikko;kiropraktor med skyddad yrkesbeteckning;chiropractor with protected occupational title;2013;<65;81;81
230;nimikesuojattu naprapaatti;naprapat med skyddad yrkesbeteckning;naprapath with protected occupational title;2013;>=65;13;13
230;nimikesuojattu naprapaatti;naprapat med skyddad yrkesbeteckning;naprapath with protected occupational title;2013;<65;138;138
240;nimikesuojattu osteopaatti;osteopat med skyddad yrkesbeteckning;osteopath with protected occupational title;2013;>=65;20;20
240;nimikesuojattu osteopaatti;osteopat med skyddad yrkesbeteckning;osteopath with protected occupational title;2013;<65;301;301
300;laillistettu kätilö;legitimerad barnmorska;registered midwife;2013;>=65;2730;2730
300;laillistettu kätilö;legitimerad barnmorska;registered midwife;2013;<65;6278;6278
400;laillistettu terveydenhoitaja;legitimerad hälsovårdare;registered public health nurse;2013;>=65;1659;1659
400;laillistettu terveydenhoitaja;legitimerad hälsovårdare;registered public health nurse;2013;<65;20891;20891
503;nimikesuojattu mielisairaanhoitaja;sinnessjukvårdare med skyddad yrkesbeteckning;practical psychiatric nurse with protected occupational title;2013;>=65;3474;3474
503;nimikesuojattu mielisairaanhoitaja;sinnessjukvårdare med skyddad yrkesbeteckning;practical psychiatric nurse with protected occupational title;2013;<65;4594;4594
506;nimikesuojattu koulutettu hieroja;utbildad massör med skyddad yrkesbeteckning;trained masseur with protected occupational title;2013;>=65;1203;1203
506;nimikesuojattu koulutettu hieroja;utbildad massör med skyddad yrkesbeteckning;trained masseur with protected occupational title;2013;<65;15279;15279
507;nimikesuojattu apuhoitaja;hjälpskötare med skyddad yrkesbeteckning;assistant nurse with protected occupational title;2013;>=65;11582;11582
507;nimikesuojattu apuhoitaja;hjälpskötare med skyddad yrkesbeteckning;assistant nurse with protected occupational title;2013;<65;23172;23172
508;laillistettu laboratoriohoitaja;legitimerad laboratorieskötare;registered medical laboratory technologist;2013;>=65;1709;1709
508;laillistettu laboratoriohoitaja;legitimerad laboratorieskötare;registered medical laboratory technologist;2013;<65;7764;7764
509;laillistettu röntgenhoitaja;legitimerad röntgenskötare;registered radiographer;2013;>=65;1065;1065
509;laillistettu röntgenhoitaja;legitimerad röntgenskötare;registered radiographer;2013;<65;4126;4126
600;laillistettu fysioterapeutti;legitimerad fysioterapeut;registered physiotherapist;2013;>=65;1270;1270
600;laillistettu fysioterapeutti;legitimerad fysioterapeut;registered physiotherapist;2013;<65;15099;15099
602;nimikesuojattu kuntohoitaja;konditionsskötare med skyddad yrkesbeteckning;physiotherapy assistant with protected occupational title;2013;>=65;351;351
602;nimikesuojattu kuntohoitaja;konditionsskötare med skyddad yrkesbeteckning;physiotherapy assistant with protected occupational title;2013;<65;5287;5287
603;nimikesuojattu mielenterveyshoitaja;mentalvårdare med skyddad yrkesbeteckning;practical mental nurse with protected occupational title;2013;>=65;139;139
603;nimikesuojattu mielenterveyshoitaja;mentalvårdare med skyddad yrkesbeteckning;practical mental nurse with protected occupational title;2013;<65;2658;2658
604;nimikesuojattu lastenhoitaja;barnskötare med skyddad yrkesbeteckning;children's nurse with protected occupational title;2013;>=65;5923;5923
604;nimikesuojattu lastenhoitaja;barnskötare med skyddad yrkesbeteckning;children's nurse with protected occupational title;2013;<65;11765;11765
605;nimikesuojattu lähihoitaja (terveydenhuolto);närvårdare (hälsovård) med skyddad yrkesbeteckning;practical nurse (health care);2013;>=65;1794;1794
605;nimikesuojattu lähihoitaja (terveydenhuolto);närvårdare (hälsovård) med skyddad yrkesbeteckning;practical nurse (health care);2013;<65;122230;122230
607;nimikesuojattu perushoitaja;primärskötare med skyddad yrkesbeteckning;practical nurse with protected occupational title;2013;>=65;1088;1088
607;nimikesuojattu perushoitaja;primärskötare med skyddad yrkesbeteckning;practical nurse with protected occupational title;2013;<65;10626;10626
610;nimikesuojattu hammashoitaja;tandskötare med skyddad yrkesbeteckning;dental assistant with protected occupational title;2013;>=65;932;932
610;nimikesuojattu hammashoitaja;tandskötare med skyddad yrkesbeteckning;dental assistant with protected occupational title;2013;<65;7136;7136
611;laillistettu suuhygienisti;legitimerad munhygienist;registered dental hygienist;2013;>=65;53;53
611;laillistettu suuhygienisti;legitimerad munhygienist;registered dental hygienist;2013;<65;2424;2424
612;nimikesuojattu jalkaterapeutti;fotterapeut med skyddad yrkesbeteckning;podiatrist with protected occupational title;2013;>=65;Alle 5;Alle 5
612;nimikesuojattu jalkaterapeutti;fotterapeut med skyddad yrkesbeteckning;podiatrist with protected occupational title;2013;<65;265;265
613;nimikesuojattu jalkojenhoitaja;fotvårdare med skyddad yrkesbeteckning;chiropodist with protected occupational title;2013;>=65;202;202
613;nimikesuojattu jalkojenhoitaja;fotvårdare med skyddad yrkesbeteckning;chiropodist with protected occupational title;2013;<65;702;702
614;nimikesuojattu lääkintävahtimestari-sairaankuljettaja;medikalvaktmästare-ambulansförare med skyddad yrkesbeteckning;hospital and ambulance attendant with protected occupational title;2013;>=65;154;154
614;nimikesuojattu lääkintävahtimestari-sairaankuljettaja;medikalvaktmästare-ambulansförare med skyddad yrkesbeteckning;hospital and ambulance attendant with protected occupational title;2013;<65;2696;2696
001;laillistettu lääkäri;legitimerad läkare;registered medical doctor;2014;>=65;5062;5062
001;laillistettu lääkäri;legitimerad läkare;registered medical doctor;2014;<65;22426;22426
003;laillistettu hammaslääkäri;legitimerad tandläkare;registered dental practitioner;2014;>=65;1981;1981
003;laillistettu hammaslääkäri;legitimerad tandläkare;registered dental practitioner;2014;<65;5152;5152
005;laillistettu farmaseutti;legitimerad farmaceut;registered dispenser;2014;>=65;4131;4131
005;laillistettu farmaseutti;legitimerad farmaceut;registered dispenser;2014;<65;9428;9428
006;laillistettu proviisori;legitimerad provisor;registered pharmacist;2014;>=65;598;598
006;laillistettu proviisori;legitimerad provisor;registered pharmacist;2014;<65;2818;2818
007;laillistettu optikko;legitimerad optiker;registered optician;2014;>=65;280;280
007;laillistettu optikko;legitimerad optiker;registered optician;2014;<65;1920;1920
008;laillistettu hammasteknikko;legitimerad tandtekniker;registered dental technician;2014;>=65;266;266
008;laillistettu hammasteknikko;legitimerad tandtekniker;registered dental technician;2014;<65;849;849
009;laillistettu psykologi;legitimerad psykolog;registered psychologist;2014;>=65;1310;1310
009;laillistettu psykologi;legitimerad psykolog;registered psychologist;2014;<65;5857;5857
010;nimikesuojattu psykoterapeutti;psykoterapeut med skyddad yrkesbeteckning;psychotherapist with protected occupational title;2014;>=65;1311;1311
010;nimikesuojattu psykoterapeutti;psykoterapeut med skyddad yrkesbeteckning;psychotherapist with protected occupational title;2014;<65;5632;5632
012;laillistettu puheterapeutti;legitimerad talterapeut;registered speech therapist;2014;>=65;190;190
012;laillistettu puheterapeutti;legitimerad talterapeut;registered speech therapist;2014;<65;1478;1478
014;laillistettu toimintaterapeutti;legitimerad ergoterapeut;registered occupational therapist;2014;>=65;45;45
014;laillistettu toimintaterapeutti;legitimerad ergoterapeut;registered occupational therapist;2014;<65;2966;2966
016;laillistettu ravitsemusterapeutti;legitimerad näringsterapeut;registered dietitian;2014;>=65;30;30
016;laillistettu ravitsemusterapeutti;legitimerad näringsterapeut;registered dietitian;2014;<65;547;547
020;nimikesuojattu sairaalafyysikko;sjukhusfysiker med skyddad yrkesbeteckning;hospital physicist with protected occupational title;2014;>=65;32;32
020;nimikesuojattu sairaalafyysikko;sjukhusfysiker med skyddad yrkesbeteckning;hospital physicist with protected occupational title;2014;<65;137;137
021;nimikesuojattu sairaalageneetikko;sjukhusgenetiker med skyddad yrkesbeteckning;hospital geneticist with protected occupational title;2014;>=65;Alle 5;Alle 5
021;nimikesuojattu sairaalageneetikko;sjukhusgenetiker med skyddad yrkesbeteckning;hospital geneticist with protected occupational title;2014;<65;23;23
022;nimikesuojattu sairaalakemisti;sjukhuskemist med skyddad yrkesbeteckning;hospital chemist with protected occupational title;2014;>=65;97;97
022;nimikesuojattu sairaalakemisti;sjukhuskemist med skyddad yrkesbeteckning;hospital chemist with protected occupational title;2014;<65;119;119
023;nimikesuojattu sairaalamikrobiologi;sjukhusmikrobiolog med skyddad yrkesbeteckning;hospital microbiologist with protected occupational title;2014;>=65;6;6
023;nimikesuojattu sairaalamikrobiologi;sjukhusmikrobiolog med skyddad yrkesbeteckning;hospital microbiologist with protected occupational title;2014;<65;41;41
024;nimikesuojattu sairaalasolubiologi;sjukhuscellbiolog med skyddad yrkesbeteckning;hospital cell biologist with protected occupational title;2014;>=65;Alle 5;Alle 5
024;nimikesuojattu sairaalasolubiologi;sjukhuscellbiolog med skyddad yrkesbeteckning;hospital cell biologist with protected occupational title;2014;<65;18;18
034;laillistettu erikoislääkäri;legitimerad specialistläkare;registered specialist;2014;>=65;5805;4254
034;laillistettu erikoislääkäri;legitimerad specialistläkare;registered specialist;2014;<65;16317;13077
035;laillistettu erikoishammaslääkäri;legitimerad specialisttandläkare;specialised dental practitioner;2014;>=65;415;404
035;laillistettu erikoishammaslääkäri;legitimerad specialisttandläkare;specialised dental practitioner;2014;<65;687;683
100;laillistettu sairaanhoitaja;legitimerad sjukskötare;registered nurse;2014;>=65;25039;25039
100;laillistettu sairaanhoitaja;legitimerad sjukskötare;registered nurse;2014;<65;99798;99798
201;nimikesuojattu apuvälineteknikko;hjälpmedelstekniker med skyddad yrkesbeteckning;orthopaedic technician with protected occupational title;2014;>=65;5;5
201;nimikesuojattu apuvälineteknikko;hjälpmedelstekniker med skyddad yrkesbeteckning;orthopaedic technician with protected occupational title;2014;<65;266;266
220;nimikesuojattu kiropraktikko;kiropraktor med skyddad yrkesbeteckning;chiropractor with protected occupational title;2014;>=65;6;6
220;nimikesuojattu kiropraktikko;kiropraktor med skyddad yrkesbeteckning;chiropractor with protected occupational title;2014;<65;83;83
230;nimikesuojattu naprapaatti;naprapat med skyddad yrkesbeteckning;naprapath with protected occupational title;2014;>=65;15;15
230;nimikesuojattu naprapaatti;naprapat med skyddad yrkesbeteckning;naprapath with protected occupational title;2014;<65;152;152
240;nimikesuojattu osteopaatti;osteopat med skyddad yrkesbeteckning;osteopath with protected occupational title;2014;>=65;21;21
240;nimikesuojattu osteopaatti;osteopat med skyddad yrkesbeteckning;osteopath with protected occupational title;2014;<65;335;335
300;laillistettu kätilö;legitimerad barnmorska;registered midwife;2014;>=65;2774;2774
300;laillistettu kätilö;legitimerad barnmorska;registered midwife;2014;<65;6371;6371
400;laillistettu terveydenhoitaja;legitimerad hälsovårdare;registered public health nurse;2014;>=65;2060;2060
400;laillistettu terveydenhoitaja;legitimerad hälsovårdare;registered public health nurse;2014;<65;21280;21280
503;nimikesuojattu mielisairaanhoitaja;sinnessjukvårdare med skyddad yrkesbeteckning;practical psychiatric nurse with protected occupational title;2014;>=65;3529;3529
503;nimikesuojattu mielisairaanhoitaja;sinnessjukvårdare med skyddad yrkesbeteckning;practical psychiatric nurse with protected occupational title;2014;<65;4394;4394
506;nimikesuojattu koulutettu hieroja;utbildad massör med skyddad yrkesbeteckning;trained masseur with protected occupational title;2014;>=65;1333;1333
506;nimikesuojattu koulutettu hieroja;utbildad massör med skyddad yrkesbeteckning;trained masseur with protected occupational title;2014;<65;16054;16054
507;nimikesuojattu apuhoitaja;hjälpskötare med skyddad yrkesbeteckning;assistant nurse with protected occupational title;2014;>=65;12667;12667
507;nimikesuojattu apuhoitaja;hjälpskötare med skyddad yrkesbeteckning;assistant nurse with protected occupational title;2014;<65;21820;21820
508;laillistettu laboratoriohoitaja;legitimerad laboratorieskötare;registered medical laboratory technologist;2014;>=65;1928;1928
508;laillistettu laboratoriohoitaja;legitimerad laboratorieskötare;registered medical laboratory technologist;2014;<65;7703;7703
509;laillistettu röntgenhoitaja;legitimerad röntgenskötare;registered radiographer;2014;>=65;1187;1187
509;laillistettu röntgenhoitaja;legitimerad röntgenskötare;registered radiographer;2014;<65;4151;4151
600;laillistettu fysioterapeutti;legitimerad fysioterapeut;registered physiotherapist;2014;>=65;1461;1461
600;laillistettu fysioterapeutti;legitimerad fysioterapeut;registered physiotherapist;2014;<65;15381;15381
